id,customer_message,intent,expected_action,reference_resolution,difficulty,notes
G107,"second day I've come and there's no crisps for the meal deals. Also staff will not let us borrow a trolley as you need a coin when other stores have before",uncategorized__meal,ESCALATE,"Acknowledge the Meal Deal availability complaint and store-service concern and route them for review.",medium,"Meal Deal plus trolley policy issue; source_conversation_id=Tesco_173560"
G108,"Thanks for getting back to me. Please could you check stock at Southport Extra my postcode is PR8.",stock_availability,AUTO_HANDLE,"Check and provide stock availability at the Southport Extra store.",easy,"Specific stock lookup; source_conversation_id=Tesco_1122985"
G109,"any chance your Newry store can sell products in date not nearly two months out of date!!! I was so excited for some tea and a biccy",product_quality,ESCALATE,"Acknowledge the expired-product complaint and escalate the store's date-control issue.",easy,"Expired products in store; source_conversation_id=Tesco_1876603"
G110,"disgusted that I found a live slug slithering all over and nibbling my pak Choi 😤🤢 and now all I've been offered is £5 money card? Are you joking?",product_quality,ESCALATE,"Acknowledge the contamination complaint and inadequate resolution, then escalate for human review and investigation.",easy,"Live pest on produce plus dissatisfaction with compensation; source_conversation_id=Tesco_2240957"
G111,"please help me ! I’m looking for these black Pom Pom shoes , my local store doesn’t have my size and they’re not showing on your website but don’t know why !!",stock_availability,AUTO_HANDLE,"Check product and size availability online and at relevant stores.",easy,"Product/size availability query; source_conversation_id=Tesco_2625291"
G112,"Hi There, still experiencing this issue - it’s been over a week now, and is stopping me from shopping. When will it be fixed??",technical_problem,ESCALATE,"Acknowledge the continuing technical issue and provide or obtain an update on the fix.",hard,"Underlying technical issue is omitted; source_conversation_id=Tesco_32467"
G113,"I felt happier George talking to Marian, u can find my details if u buy one of my books on Amazon, check out MRWILSONSBOOKS or u could buy one of my coins or collectibles on ebay then you will have my details. Now how is that for a deal?",OVERSIZED_MIXED_CLUSTER__5,ESCALATE,"Do not infer a support intent from the message; use the existing conversation context or request clarification.",hard,"Highly context-dependent promotional/contact message; source_conversation_id=Tesco_2965890"
G114,"what an utterly STUPID system in Twickenham the store is open but the tills don't open until 11am?! Sort it out.",customer_service_complaint,ESCALATE,"Acknowledge the store operating-hours complaint and route it to store management.",easy,"Store/till operating issue; source_conversation_id=Tesco_2435811"
G115,"Bath row Tesco Birmingham. Just employ some staff. Every day queues are ridiculous. One person on tills and always 10 + Q...",customer_service_complaint,ESCALATE,"Acknowledge the staffing and queue complaint and escalate it to the store management team.",easy,"Staffing/queue complaint; source_conversation_id=Tesco_1263211"
G116,"you need to update your website as it says LOL big surprise dolls are in stock when they aren't #wastesjourney",stock_availability,ESCALATE,"Investigate the discrepancy between website stock information and actual store availability.",easy,"Incorrect online stock information; source_conversation_id=Tesco_1967223"
G117,"Can you tell me a store local to Crawley West Sussex that is stocking Kelloggs Advent calendars please?",stock_availability,AUTO_HANDLE,"Check and provide availability of Kellogg's Advent calendars at nearby Crawley stores.",easy,"Store stock lookup; source_conversation_id=Tesco_1154058"
G118,"2/2 no show lst ngt no food in home or means to go to purchase called now 2b told no del wld take place utterly disgusted with Tesco",delivery_issue,ESCALATE,"Investigate the missed delivery and provide an urgent resolution for the customer's missing grocery order.",easy,"Repeated/no-show delivery leaving customer without food; source_conversation_id=Tesco_955757"
G119,"Just bought these cherries which are 1 month out of date! Didn’t know you had to check these things in #Tesco #egham",product_quality,ESCALATE,"Apologize for the expired product and report the store date-control issue.",easy,"Expired fresh produce; source_conversation_id=Tesco_2557755"
G120,"Mortified by today. Accused of lying when I went to collect 2nd part of parcel for my 4yo's Xmas, saying we had already collected it. No apology. 30min of arguing to agree for a replacement to be offered. Next week. Ppl should not ever be treated like this. #slander",customer_service_complaint,ESCALATE,"Acknowledge the poor treatment during collection and escalate the complaint while confirming the replacement arrangement.",easy,"Serious customer-service complaint during Click & Collect; source_conversation_id=Tesco_656655"
G121,"received light from your approved partner 'big living' when I opened it, it's cracked. Have emailed them - no reply #CustomerService",product_quality,ESCALATE,"Acknowledge the damaged product and provide the appropriate partner/return escalation route.",easy,"Damaged product purchased from an approved partner; source_conversation_id=Tesco_919542"
G122,"I’m in the Durham area, even the offer online has sold out, why have a promo and not enough stock for the demand!",stock_availability,AUTO_HANDLE,"Explain the promotional stock availability and acknowledge the customer's feedback about insufficient supply.",easy,"Promotion-related stock complaint; source_conversation_id=Tesco_1823343"
G123,"Hi . The new grocery website is very slow. Can we have the old one back pls?",technical_problem,AUTO_HANDLE,"Acknowledge the website performance issue and provide troubleshooting or feedback information.",easy,"Website performance complaint; source_conversation_id=Tesco_2454742"
G124,"So, the Ingram St smells like shit again*... staff saying they've never known it so bad. *Literally, not figuratively",customer_service_complaint,ESCALATE,"Acknowledge the store-environment complaint and escalate it to store management.",medium,"Store condition/environment issue; source_conversation_id=Tesco_2479345"
G125,"does your customer service team always ring people up and ask for their card details then never call them back?",customer_service_complaint,ESCALATE,"Acknowledge the complaint about customer-service handling and escalate the incident for investigation.",easy,"Customer-service process complaint involving payment details; source_conversation_id=Tesco_629983"
G126,"Yes ok. Thank you 👍",OVERSIZED_MIXED_CLUSTER__5,AUTO_HANDLE,"Acknowledge the customer's confirmation and thanks.",hard,"Context-dependent confirmation; source_conversation_id=Tesco_617884"
G127,"Hi Tesco. I just bought these today in Cardiff and didn’t notice the best before date till my colleague pointed it out to me. They weren’t marked down as out of date though.",product_quality,ESCALATE,"Acknowledge the date-labeling complaint and escalate the store issue for investigation.",easy,"Best-before/date-control issue; source_conversation_id=Tesco_2846444"
G128,"#elfhunt #TescoTidworth great job on the elf hunt in the store. My girls loved it and the staff joined in in the magic.",customer_service_complaint,AUTO_HANDLE,"Thank the customer for the positive feedback about the store event and staff.",easy,"Positive store/staff experience; source_conversation_id=Tesco_2248597"
G129,"is your groceries online site down? Was half way through order now won't load.",technical_problem,AUTO_HANDLE,"Check whether the grocery website is experiencing an outage and provide troubleshooting guidance.",easy,"Website availability issue; source_conversation_id=Tesco_1374626"
G130,". smashing having no duck in my hoisin duck wraps 🙄, might as well have spent the extra 10p and got the 2 with a meal deal.",product_quality,AUTO_HANDLE,"Acknowledge the missing ingredient complaint and provide the appropriate product feedback or refund process.",easy,"Product contents issue; source_conversation_id=Tesco_875384"
G131,"hi I've just selected 3 toys on Tesco direct on your 3 for 2 deal however at checkout the cheapest isn't being deducted! I have checked and all 3 are definitely on the the deal! Help please",uncategorized__meal,ESCALATE,"Investigate the 3-for-2 promotion and correct the checkout discount if the products are eligible.",easy,"Promotion issue; mapped to uncategorized__meal because final taxonomy has no general promotions label; source_conversation_id=Tesco_2668124"
G132,"But it happened, yet your CEOs team seem to believe it is acceptable for customers, the people who pay your bills to have to put up with it",customer_service_complaint,ESCALATE,"Acknowledge the serious customer-service complaint and escalate it for management review.",hard,"Follow-up message with missing original incident; source_conversation_id=Tesco_980954"
G133,"Stephen who delivered my shopping just now was brilliant! Please have more delivery drivers like him ☺️👍",delivery_issue,AUTO_HANDLE,"Thank the customer for the positive delivery-driver feedback and pass the recognition to the relevant team.",easy,"Positive delivery feedback; source_conversation_id=Tesco_1591610"
G134,"my club card points were converted into 360 Avios in October but they haven’t been credited to my executive club account as yet. Can you help please?",OVERSIZED_MIXED_CLUSTER__5,ESCALATE,"Investigate the missing loyalty-point transfer and provide an account-specific resolution.",medium,"Loyalty/account issue with no dedicated taxonomy intent; source_conversation_id=Tesco_2437143"
G135,"Just been to Tesco to buy tonic. As usual they haven’t got any. Asked if there was some in the back and told “you don’t need it now, getting some at 6pm, come back later?” If you can let me know when is convenient for me to shop I will arrange my life around #appalled",stock_availability,AUTO_HANDLE,"Check and provide current tonic availability and, where possible, expected replenishment information.",easy,"Product availability complaint; source_conversation_id=Tesco_941078"
G136,"your pressed pineapple juice is really inconsistent man one time you get it it’s amazingly sweet the next super sour I feel sick now 😩😩😩😑",product_quality,ESCALATE,"Acknowledge the product-quality complaint and investigate the reported inconsistent taste.",easy,"Product quality with reported illness/sickness; source_conversation_id=Tesco_2122437"
G137,"bought this. Washed it after buying unused and its gone rusty! Didnt non stick!! Please explain",product_quality,ESCALATE,"Acknowledge the faulty cookware complaint and provide the appropriate return or replacement process.",easy,"Damaged/faulty product; source_conversation_id=Tesco_61150"
G138,"I need an email address for customer service please.",customer_service_complaint,AUTO_HANDLE,"Provide the appropriate customer-service contact channel or email information.",easy,"Customer-service contact request; source_conversation_id=Tesco_1789895"
G139,"I just wanted to say how fantastic Doreen at Tesco fuel station Applemore was today, my wife put in the wrong fuel and she gave us advice and also bought us tea and checked we were ok. She was so helpful. Thank you Doreen #tesco #lifesaver #kindnessofstrangers",customer_service_complaint,AUTO_HANDLE,"Thank the customer for the positive staff feedback and pass the recognition to Doreen and the relevant team.",easy,"Positive staff/customer-service feedback; source_conversation_id=Tesco_58916"
G140,"can you help us find a dairy free advent calender for my niece - we have been all over Leeds with no success.Pretty please x",uncategorized__free,AUTO_HANDLE,"Check availability of suitable dairy-free Advent calendars at relevant stores.",easy,"Dairy-free product availability; source_conversation_id=Tesco_2023514"
G141,"bought this cake from Datchet express yesterday. Disgusted to find best before is a week ago! (19th).",product_quality,ESCALATE,"Apologize for the expired cake and escalate the store date-control issue.",easy,"Expired product; source_conversation_id=Tesco_2826084"
G142,"Considering your Christmas message this report had better be a disgusting joke!!! Because if it is true, you better fix it pronto 😠 This is an utterly despicable practice.",customer_service_complaint,ESCALATE,"Acknowledge the serious complaint and escalate the reported practice for appropriate review.",hard,"Underlying reported practice is not specified; source_conversation_id=Tesco_2816719"
G143,"Ridiculous scenes at Old Kent Road no shopping baskets for anyone to use. Have to wait until shoppers leave to get one!",customer_service_complaint,ESCALATE,"Acknowledge the store-service issue and report the shortage of shopping baskets to store management.",easy,"Store facilities/service complaint; source_conversation_id=Tesco_2857430"
G144,"My latest gripe. Having to navigate around an army of “online order” pickers . It seems I am less valued than those who sit at home!",customer_service_complaint,ESCALATE,"Acknowledge the customer's store-experience complaint and pass the feedback to store management.",easy,"Store experience involving online-order pickers; source_conversation_id=Tesco_1006853"
G145,"just had my food shopping delivered and realised they sent me 2 wrong items and it’s not on my substitute list?",delivery_issue,ESCALATE,"Investigate the incorrect delivered items and provide the appropriate replacement, refund, or complaint resolution.",easy,"Wrong items in delivery; source_conversation_id=Tesco_1362685"
G146,"just found out you haven’t refunded order and you have no idea why! Fortunately Cameron at customer service has done this-not good",OVERSIZED_MIXED_CLUSTER__5,ESCALATE,"Acknowledge the delayed refund and investigate the transaction if further action is required.",medium,"Refund issue has no dedicated taxonomy intent; source_conversation_id=Tesco_756281"
G147,"Sure did got the S A....and some F 18 and some....sorry Father Christmas says I can't tell u what we asked him to bring....but you have some awesome helpers that early in the morning and were treated as valued customer....gotta a load of clubpoins too. Thanks all at callington",customer_service_complaint,AUTO_HANDLE,"Thank the customer for the positive store and staff feedback.",hard,"Positive staff experience with unclear product references; source_conversation_id=Tesco_130420"
G148,"just got home from Tesco in Welling and noticed they have sold me two out of date mini pizzas. Disgusting",product_quality,ESCALATE,"Apologize for the expired products and escalate the store date-control issue.",easy,"Expired food; source_conversation_id=Tesco_867705"
G149,"Please can I have fifa 18 for free? :))))",stock_availability,AUTO_HANDLE,"Explain whether FIFA 18 is available for purchase and that free copies cannot be provided unless an applicable promotion exists.",easy,"Product/request query; source_conversation_id=Tesco_1572467"
G150,"Dundee Riverside store was freezing today, staff walking about with scarves on, they told me the heating hasn't worked properly for years. Surely a minimum store temperature for your staff is a requirement?",customer_service_complaint,ESCALATE,"Acknowledge the store-environment concern and escalate the heating issue to store management.",easy,"Store facilities and staff working conditions; source_conversation_id=Tesco_1462312"
G151,"have sent a DM",uncategorized__dm,AUTO_HANDLE,"Acknowledge receipt of the customer's DM.",easy,"Explicit DM reference; source_conversation_id=Tesco_2790894"
G152,"Have done, thanks.",OVERSIZED_MIXED_CLUSTER__5,AUTO_HANDLE,"Acknowledge the customer's confirmation and thanks.",hard,"Missing context; source_conversation_id=Tesco_2829046"
G153,"Seriously getting annoyed with the superstore in Dunmurry. Sent to get me mango and strawberries and they didn’t have ANY!",stock_availability,AUTO_HANDLE,"Check and explain availability of mango and strawberries at the specified store.",easy,"Fresh-produce stock complaint; source_conversation_id=Tesco_1517116"
G154,"Thanks - I’ve sent through my email",OVERSIZED_MIXED_CLUSTER__5,AUTO_HANDLE,"Acknowledge receipt of the customer's email.",hard,"Context-dependent confirmation; source_conversation_id=Tesco_155276"
G155,"John on the checkout @ your Cirencester store was so charming and kind today. So nice to see genuine people who enjoy their jobs! ☺️👏🏻",customer_service_complaint,AUTO_HANDLE,"Thank the customer for the positive feedback and pass the recognition to John and the store.",easy,"Positive checkout staff feedback; source_conversation_id=Tesco_278585"
G156,"absolute appalled with service in the Bham New Street Store. 30 minutes queuing with only one member of staff on tills and no apology",customer_service_complaint,ESCALATE,"Acknowledge the excessive queue and staffing complaint and escalate it to store management.",easy,"Queue/staffing complaint; source_conversation_id=Tesco_1091058"
G157,"Dm sent",uncategorized__dm,AUTO_HANDLE,"Acknowledge receipt of the customer's DM.",easy,"Explicit DM reference; source_conversation_id=Tesco_2733112"
G158,"Can you replay to my dm",uncategorized__dm,AUTO_HANDLE,"Acknowledge the request and direct the customer to the DM support process.",easy,"Explicit request for DM response; source_conversation_id=Tesco_2012937"
G159,"disappointed to find that the selection of free from “cheese” and other fridge free from products has been reduced in my local store to make way for Christmas foods! #BahHumbug #bringbackfreefrom #freefrom #nochoice #beingbackviolife #tesco #noveganchoice #sadface",uncategorized__free,ESCALATE,"Acknowledge the reduced free-from range and forward the product-selection feedback to the relevant team.",easy,"Free-from product availability/selection complaint; source_conversation_id=Tesco_494277"
G160,"DM’d",uncategorized__dm,AUTO_HANDLE,"Acknowledge receipt of the customer's DM.",easy,"Explicit DM reference; source_conversation_id=Tesco_1277284"
G161,"who can I talk to regarding a Tesco now delivery? I’ve been waiting to speak with someone on the phone for over 15 mins now!",delivery_issue,ESCALATE,"Provide the appropriate Tesco Now delivery support route and address the prolonged wait for assistance.",medium,"Delivery support request with failed phone contact; source_conversation_id=Tesco_2790832"
G162,"£4 for click and collect a single item from your store even when the delivery slot is free?! #JogOn",delivery_issue,ESCALATE,"Explain the Click & Collect charge and investigate whether the fee was applied correctly.",easy,"Click & Collect pricing complaint mapped to delivery issue; source_conversation_id=Tesco_1642083"
G163,"Are you replying to DMs? Sent one 45 minutes ago, but no reply :-(.",uncategorized__dm,AUTO_HANDLE,"Explain the DM support process and expected response handling.",easy,"Explicit DM response query; source_conversation_id=Tesco_2662784"
G164,"Thanks Pter - just sent DM",uncategorized__dm,AUTO_HANDLE,"Acknowledge receipt of the customer's DM.",easy,"Explicit DM reference; source_conversation_id=Tesco_2846437"
G165,"wondering where’s the bacon is in my club sandwich please? I’m struggling to find it. #disappointed #baffled",product_quality,AUTO_HANDLE,"Acknowledge the missing ingredient complaint and provide the appropriate product complaint or refund process.",easy,"Product contents issue; source_conversation_id=Tesco_1145299"
G166,"Hello!?",OVERSIZED_MIXED_CLUSTER__5,ESCALATE,"Request the customer's question or missing context before providing support.",hard,"No identifiable support intent; source_conversation_id=Tesco_1046729"
G167,"Not a pleasant find in my pack of peppers bought today 🤢🤢",product_quality,ESCALATE,"Ask for details of the object or issue found in the peppers and escalate the product-quality complaint.",medium,"Likely contamination/foreign-object issue but exact problem is omitted; source_conversation_id=Tesco_1818486"
G168,"your oats value needs to remove from every U.K. branch. IMMEDIATELY",product_quality,ESCALATE,"Acknowledge the serious product complaint and request product details before escalating for investigation.",hard,"Product identity/context is unclear; source_conversation_id=Tesco_1008386"
G169,"WOW. Oven cooked this according to instructions. The plastic melted! It is NOT oven proof!! 😷 😱 #quorn #vegetarian #meatfree",product_quality,ESCALATE,"Acknowledge the product-safety complaint, advise against further use, and escalate for investigation.",easy,"Potential product safety/packaging failure; source_conversation_id=Tesco_2950192"
G170,"thanks for the reply, I just sent another question regarding the issue with available balance I forgot to ask",OVERSIZED_MIXED_CLUSTER__5,ESCALATE,"Use the previous account context to address the customer's additional available-balance question.",hard,"Account/balance issue with no dedicated taxonomy intent; source_conversation_id=Tesco_1088902"
G171,"Stuck behind a van because apparently delivery drivers think the middle of the road is a parking space...",delivery_issue,ESCALATE,"Acknowledge the delivery-driver conduct complaint and pass the feedback to the appropriate delivery team.",easy,"Delivery-driver behavior complaint; source_conversation_id=Tesco_981335"
G172,"apparently tescometro in Glasgow couldn’t provide a VAT receipt until the next day. How complicated do you make it?? Or is it just a lazy manager?",customer_service_complaint,ESCALATE,"Acknowledge the service complaint about delayed receipt provision and escalate it to the relevant store/team.",easy,"Store/customer-service process complaint; source_conversation_id=Tesco_1510255"
G173,"People walking in front of cars, kids swinging and climbing on trolley parks. Terrible planning by you. I only went for the pharmacy!",customer_service_complaint,ESCALATE,"Acknowledge the store safety/planning complaint and escalate it to the appropriate store management team.",easy,"Store environment and safety complaint; source_conversation_id=Tesco_583104"
G174,"Hi, been wondering why diesel is different prices at your filling stations??",uncategorized__tesco,AUTO_HANDLE,"Explain that fuel prices can vary between filling stations and provide the applicable general pricing information.",easy,"General Tesco fuel-pricing question; source_conversation_id=Tesco_1063917"
G175,"Member of staff at tesco neath with slit throat for halloween. Totally inappropriate and offensive.",customer_service_complaint,ESCALATE,"Acknowledge the serious complaint about staff conduct and escalate it for management review.",easy,"Offensive staff behavior/costume complaint; source_conversation_id=Tesco_1946937"
G176,"Disgusting Tesco selling an Xmas card with Santa saying he's gonna have a beer n skip Wales. Talk about racist. Whoever made and agreed to sell it shod be charged with racial hatred needs to withdraw from sale",product_quality,ESCALATE,"Acknowledge the complaint about offensive product content and escalate it to the appropriate product/compliance team.",easy,"Offensive product/content complaint mapped to product_quality because no dedicated policy/complaint label fits; source_conversation_id=Tesco_2895429"
G177,"So full after my sandwich They pack them so full of filling. Best available. THREE TINY BITS OF CHICKEN ARE YOU SERIOUS",product_quality,AUTO_HANDLE,"Acknowledge the missing/insufficient filling complaint and provide the appropriate product feedback process.",easy,"Product contents complaint; source_conversation_id=Tesco_1572384"
G178,"Hi again, I’ve got the other plasters from the pack if that helps. They’ve got a ‘lot number’ on them.",OVERSIZED_MIXED_CLUSTER__5,ESCALATE,"Use the lot number with the existing complaint context to investigate the affected product.",hard,"Follow-up containing product traceability information; underlying issue is omitted; source_conversation_id=Tesco_850211"
G179,"Absolutely disgusted to find what appears to be a squished bug on one of your wraps that I purchased this afternoon. Thankfully brother hadn't eaten it but I suggest quality control needs improvement",product_quality,ESCALATE,"Acknowledge the foreign-object complaint, advise not consuming the product, and escalate for quality investigation.",easy,"Insect contamination in food; source_conversation_id=Tesco_2491128"
G180,"Can't order online for delivery or c&c and nowhere to subscribe. Please help upset 3 year old #littleproblemsbigtantrums",technical_problem,ESCALATE,"Troubleshoot the inability to place an online delivery or Click & Collect order and investigate the subscription issue.",easy,"Online ordering technical/access problem; source_conversation_id=Tesco_2910881"
G181,"Due to a life hurry, I was forced to buy one of your ready meals. This was a 'Finest' Moussaka. There was nothing 'fine' about this. Please send your Head Chef to Greece to experience what this should taste like....or pop to as they have it nailed!",product_quality,AUTO_HANDLE,"Acknowledge the product-quality feedback about the ready meal and record it for the relevant product team.",easy,"Ready-meal taste/quality complaint; source_conversation_id=Tesco_44189"
G182,"Is it only me that thinks the M&S & Tesco gf sandwich thins look under baked. Not a spot of the warburton ones but they are hard to get",uncategorized__free,ESCALATE,"Acknowledge the gluten-free product quality concern and escalate it for product investigation.",medium,"Free-from product with possible underbaking issue; source_conversation_id=Tesco_1018790"
G183,"Any danger in a response?",OVERSIZED_MIXED_CLUSTER__5,ESCALATE,"Acknowledge the follow-up request and use the preceding conversation to determine the unresolved issue.",hard,"No context about the requested response; source_conversation_id=Tesco_2324452"
G184,"I can’t find this clumping cat litter at your Brookfield centre, Cheshunt anyone. Have you discontinued it?",stock_availability,AUTO_HANDLE,"Check whether the clumping cat litter is currently stocked or discontinued and provide availability information.",easy,"Product availability/discontinuation query; source_conversation_id=Tesco_1614657"
G185,"#cleethorpes I think you need to remove the assistant button from changing rooms. After waiting 5 mins I had to shout for assistance only to be told they have never worked! I just wanted a different size & didn't want to have to get dressed",customer_service_complaint,ESCALATE,"Acknowledge the failed changing-room assistance system and escalate the store-service issue.",easy,"Store service/equipment complaint; source_conversation_id=Tesco_2359189"
G186,"Hi, I've sent some of your details. Unfortunately, don't have the packaging to hand atm, trying ti get that sorted too",OVERSIZED_MIXED_CLUSTER__5,ESCALATE,"Use the existing complaint context and the supplied product details to continue the investigation.",hard,"Follow-up message with missing underlying issue; source_conversation_id=Tesco_1766121"
G187,"is the new #Christmas menu deal out? looks like last years, but my fiancée and myself were not keen on the Pudding.",uncategorized__meal,AUTO_HANDLE,"Provide information about the current Christmas Meal Deal and its product selection.",easy,"Meal Deal information query; source_conversation_id=Tesco_1684665"
G188,"Hi I have just hurt my gum after biting a small piece of stone/gravel in one of your meal deal salads! :-(",product_quality,ESCALATE,"Acknowledge the foreign-object injury, advise not consuming the product, and escalate urgently for product-quality investigation.",easy,"Food contamination with physical injury; source_conversation_id=Tesco_1400740"
G189,"When will delivery saver Xmas slots be released please?",delivery_issue,AUTO_HANDLE,"Provide information about when Christmas Delivery Saver slots are released.",easy,"Delivery-slot information request; source_conversation_id=Tesco_1500064"
G190,"do all your chicken breasts come with BONE??",product_quality,AUTO_HANDLE,"Explain whether the product may contain bones and provide relevant product information.",easy,"Product composition/quality information query; source_conversation_id=Tesco_1292134"
G191,"Thank you for your help, ordered this morning! 🙌",OVERSIZED_MIXED_CLUSTER__5,AUTO_HANDLE,"Acknowledge the customer's thanks and successful order.",hard,"Positive follow-up with no standalone intent; source_conversation_id=Tesco_1961616"
G192,"your click and collect email suggests times that for your store later than it is open (Sunday)",technical_problem,ESCALATE,"Investigate the discrepancy between Click & Collect email times and store opening hours and correct the information.",medium,"Potential online/system information error; source_conversation_id=Tesco_2978927"
G193,"CUSTOMER COMPLAINT!!! Bought these online so that my 3 year old daughter could attend a themed Christmas Snowdog sleepover tonight however due to your incompetence in not removing a security tag my daughter couldn't wear these and cried for over 2 hours . VERY ANGRY!!!",customer_service_complaint,ESCALATE,"Acknowledge the serious service failure involving the security tag and escalate the complaint for human review.",easy,"Serious customer-service complaint and customer harm/distress; source_conversation_id=Tesco_575718"
G194,"Yes, I do!",OVERSIZED_MIXED_CLUSTER__5,ESCALATE,"Use the previous conversation context to determine what the customer is confirming.",hard,"Isolated context-dependent reply; source_conversation_id=Tesco_2877453"
G195,"Hi , can you let me know which of your Healthy Living salads are available as part of the Meal Deal? Doesn't seem to be many. Thanks!",uncategorized__meal,AUTO_HANDLE,"Provide the current list or availability of Healthy Living salads included in the Meal Deal.",easy,"Meal Deal product eligibility query; source_conversation_id=Tesco_1271298"
G196,"When you walk to for the gluten free frozen garlic bread AND THE FREEZERS ARE BROKEN AND EMPTY... nooooooo",uncategorized__free,ESCALATE,"Acknowledge the free-from product availability issue and report the broken freezer/store equipment problem.",medium,"Gluten-free stock issue caused by broken freezers; source_conversation_id=Tesco_1796575"
G197,"It's fine. As long as it's accurate. Just was a bit confusing.",OVERSIZED_MIXED_CLUSTER__5,ESCALATE,"Use the preceding conversation to identify what information was confusing and provide a grounded clarification.",hard,"Context-dependent follow-up; source_conversation_id=Tesco_441606"
G198,"Just bought ice cream from and it tastes like it has been defrosted and frozen again, feels like I’m eating sand! 😞",product_quality,ESCALATE,"Acknowledge the suspected temperature-abuse/product-quality issue and provide the appropriate complaint or refund process.",easy,"Ice-cream quality/freezing issue; source_conversation_id=Tesco_1583909"
G199,"went to your store next to biscuit factory in Newcastle Uk, & was served by an Irish young lad at about 2pm. He was really upbeat & you should be proud of him as a customer service representative. Please pass on to store from someone who once worked in a shop!",customer_service_complaint,AUTO_HANDLE,"Thank the customer for the positive staff feedback and pass the recognition to the store team.",easy,"Positive customer-service feedback; source_conversation_id=Tesco_2820790"
G200,"I must say that I'm absolutely disgusted by the prices & will be shopping elsewhere",OVERSIZED_MIXED_CLUSTER__5,AUTO_HANDLE,"Acknowledge the customer's pricing feedback.",medium,"Pricing complaint has no dedicated pricing taxonomy intent; source_conversation_id=Tesco_1746166"
